day,symbol,time_et,dir,entry,stop,box_hh,box_ll,box_pct,birth_disp_pct,disp_pct,pct_1,ok_1,pct_4,ok_4,pct_20,ok_20,stop_hit_20
2026-07-01,COIN,09:55,up,153.63,144.59,152.39,144.59,5.08,81.6,81.6,0.62,+,2.0,+,4.7,+,N
2026-07-01,COIN,10:00,up,154.59,144.59,153.73,144.59,5.91,81.7,81.7,0.98,+,1.35,+,5.05,+,N
2026-07-01,COIN,10:05,up,156.11,144.59,154.7,144.59,6.48,81.8,81.8,0.36,+,0.06,+,3.64,+,N
2026-07-01,COIN,10:10,up,156.67,144.59,156.25,144.59,7.44,81.9,81.9,0.02,+,-0.63,-,3.64,+,N
2026-07-01,COIN,11:00,up,158.86,144.59,157.06,144.59,7.85,82.0,82.0,0.89,+,1.92,+,3.04,+,N
2026-07-01,COIN,11:05,up,160.28,144.79,159.03,144.79,8.88,82.2,82.2,0.51,+,0.72,+,1.85,+,N
2026-07-01,COIN,11:10,up,161.09,144.81,160.64,144.81,9.83,82.3,82.3,-0.09,-,0.17,+,1.07,+,N
2026-07-01,COIN,11:20,up,161.91,144.81,161.25,144.81,10.15,82.4,82.4,-0.29,-,0.3,+,0.44,+,N
2026-07-01,COIN,11:40,up,162.4,146.18,162.28,146.18,9.91,82.5,82.5,-0.37,-,0.73,+,0.62,+,N
2026-07-01,COIN,11:55,up,163.29,150.9,162.8,150.9,7.29,82.6,82.6,0.18,+,0.13,+,0.37,+,N
2026-07-01,COIN,13:35,up,163.9,154.35,163.7,154.35,5.7,82.6,82.6,0.02,+,-0.43,-,-1.48,-,N
